行政區,類型,幼兒園,可招生名額,登記名額,錄取名額,招生簡章網址,-
麻豆區,3歲以上,麻豆國小附設幼兒園,29,0,0,https://pse.is/39txru,
麻豆區,3歲以上,港尾國小附設幼兒園,19,0,0,https://reurl.cc/V3eoDN,
麻豆區,3歲以上,臺南市立麻豆幼兒園,53,36,0,https://reurl.cc/9ZQbQO,
善化區,3歲以上,大成國小附設幼兒園,53,0,0,https://pse.is/3cy6wx,
善化區,3歲以上,小新國小附設幼兒園,44,0,0,https://reurl.cc/GdQaey,
善化區,3歲以上,茄拔國小附設幼兒園,14,0,0,https://cbes-tomato.blogspot.com/,
善化區,3歲以上,善化大同國小附設幼兒園,26,0,0,https://pse.is/3cbenu,
善化區,3歲以上,善化國小附設幼兒園,28,0,0,https://pse.is/3d6psv,
善化區,3歲以上,善糖國小附設幼兒園,16,0,0,https://pse.is/3cxyhv,
善化區,3歲以上,陽明國小附設幼兒園,26,0,0,https://reurl.cc/OXL8pv,
新化區,2歲,那拔國小附設幼兒園,16,0,0,https://pse.is/38u2ff,
新化區,3歲以上,大新國小附設幼兒園,40,0,0,https://pse.is/3d34sc,
新化區,3歲以上,正新國小附設幼兒園,39,28,0,https://pse.is/3bmchy,
新化區,3歲以上,那拔國小附設幼兒園,2,0,0,https://pse.is/38u2ff,
新化區,3歲以上,新化國小附設幼兒園,19,11,0,https://pse.is/38hh2n,
新市區,3歲以上,大社國小附設幼兒園,21,0,0,http://163.26.167.11/wp/kids/,
新市區,3歲以上,新市國小附設幼兒園,15,0,0,https://pse.is/3cw733,
新市區,3歲以上,臺南市立新市幼兒園,35,0,0,http://hh089.blogspot.com/,
新市區,3歲以上,臺南市立新市幼兒園大社分班,10,0,0,http://whh058.blogspot.com/,
新市區,3歲以上,臺南市立新市幼兒園大營分班,9,0,0,http://whh058.blogspot.com/,
新市區,3歲以上,臺南市立新市幼兒園社內分班,17,0,0,http://hh089.blogspot.com/,
新市區,3歲以上,臺南市立新市幼兒園港墘分班,13,0,0,http://hh089.blogspot.com/,
新營區,3歲以上,土庫國小附設幼兒園,16,0,0,https://pse.is/3dhldf,
新營區,3歲以上,公誠國小附設幼兒園,23,0,0,https://pse.is/3b8aj8,
新營區,3歲以上,南梓國小附設幼兒園,89,38,0,https://reurl.cc/9Z03LX,
新營區,3歲以上,新民國小附設幼兒園,23,10,0,https://pse.is/3dvskw,
新營區,3歲以上,新生國小附設幼兒園,11,2,0,https://reurl.cc/MZodXL,
新營區,3歲以上,新泰國小附設幼兒園,26,21,0,https://ssur.cc/acQEe,
新營區,3歲以上,新進國小附設幼兒園,30,0,0,https://kindergarten.sjes.tn.edu.tw/modules/tadnews/index.php?nsn=47,
新營區,3歲以上,新橋國小附設幼兒園,13,5,0,https://reurl.cc/Dv8qYR,
新營區,3歲以上,新營國小附設幼兒園,52,0,0,https://pse.is/3akav9,
新營區,3歲以上,新營新興國小附設幼兒園,11,0,0,https://pse.is/3dp5px,
楠西區,3歲以上,楠西國小附設幼兒園,25,0,0,https://reurl.cc/e9AgmQ,
學甲區,2歲,臺南市立學甲幼兒園,13,0,0,https://sj.pre-school.com.tw/,
學甲區,3歲以上,中洲國小附設幼兒園,12,0,0,http://120.116.111.1/kid/001.pdf,
學甲區,3歲以上,東陽國小附設幼兒園,17,14,0,https://pse.is/3dez3z,
學甲區,3歲以上,頂洲國小附設幼兒園,15,0,0,https://pse.is/3apxyz,
學甲區,3歲以上,臺南市立學甲幼兒園,29,0,0,https://sj.pre-school.com.tw/,
學甲區,3歲以上,學甲國小附設幼兒園,29,16,0,https://pse.is/3c7z8w,
龍崎區,2歲,龍崎國小附設幼兒園,8,0,0,http://css000000198730.tw.class.uschoolnet.com/,
龍崎區,3歲以上,龍崎國小附設幼兒園,12,0,0,http://css000000198730.tw.class.uschoolnet.com/,
歸仁區,3歲以上,大潭國小附設幼兒園,20,20,0,https://pse.is/3dslpk,
歸仁區,3歲以上,文化國小附設幼兒園,12,0,0,https://pse.is/3dz2vr,
歸仁區,3歲以上,保西國小附設幼兒園,21,0,0,https://reurl.cc/nnRv8D,
歸仁區,3歲以上,臺南市立歸仁幼兒園,31,0,0,http://tncg099.blogspot.com/,
歸仁區,3歲以上,歸仁國小附設幼兒園,31,0,0,https://rb.gy/ieqipu,
歸仁區,3歲以上,歸南國小附設幼兒園,27,0,0,https://pse.is/3dxe9c,
關廟區,2歲,臺南市立關廟幼兒園,16,4,0,https://tncg100.blogspot.com/,
關廟區,3歲以上,五甲國小附設幼兒園,8,0,0,https://reurl.cc/V3QlQQ,
關廟區,3歲以上,文和國小附設幼兒園,18,0,0,https://reurl.cc/V3Q4Ey,
關廟區,3歲以上,保東國小附設幼兒園,13,0,0,https://pse.is/3djpxe,
關廟區,3歲以上,崇和國小附設幼兒園,22,3,0,https://pse.is/3csdmm,
關廟區,3歲以上,深坑國小附設幼兒園,21,6,0,https://pse.is/3cln8u,
關廟區,3歲以上,臺南市立關廟幼兒園,21,0,0,https://tncg100.blogspot.com/,
關廟區,3歲以上,關廟國小附設幼兒園,23,0,0,https://pse.is/38j68t,
鹽水區,3歲以上,仁光國小附設幼兒園,16,0,0,https://pse.is/3cc6nm,
鹽水區,3歲以上,文昌國小附設幼兒園,11,2,0,https://www.wces.tn.edu.tw/,
鹽水區,3歲以上,月津國小附設幼兒園,31,11,0,https://pse.is/3ekjhu,
鹽水區,3歲以上,竹埔國小附設幼兒園,24,0,0,https://pse.is/39chrn,
鹽水區,3歲以上,坔頭港國小附設幼兒園,10,0,0,https://reurl.cc/Q7ONq2,
鹽水區,3歲以上,岸內國小附設幼兒園,12,11,0,http://www.anes.tn.edu.tw/,
鹽水區,3歲以上,歡雅國小附設幼兒園,12,0,0,https://pse.is/3etwqe,
鹽水區,3歲以上,鹽水國小附設幼兒園,40,0,0,https://pse.is/3dksky,
