區別,幼兒園名稱,核准設立日期,設立許可文號,幼兒園電話,幼兒園住址,核定總招收人數
西港區,臺南市西港區港東國民小學附設幼兒園,2001/05/08,府教特字第065234號,(06)7952231#201,[723]臺南市西港區港東里9鄰雙張廍1-1號,30
西港區,臺南市西港區後營國民小學附設幼兒園,2000/04/27,府教國字第65096號,(06)7952131#709,[723]臺南市西港區營西里1鄰3號,30
西港區,臺南市西港區成功國民小學附設幼兒園,1996/04/20,府教國字第63778號,(06)7952204#2151,[723]臺南市西港區竹林里2鄰11號,30
西港區,臺南市西港區西港國民小學附設幼兒園,1986/05/20,府教國字第56994號,(06)7952005#111,[723]臺南市西港區慶安里13鄰進學街60號,30
七股區,臺南市七股區後港國民小學附設幼兒園,2017/08/01,南市教特(一)字第1060891007E號,(06)7941305#49,[724]臺南市七股區大潭里1鄰台潭1號,15
七股區,臺南市七股區竹橋國民小學附設幼兒園,1986/05/20,府教國字第56994號,(06)7891041#13,[724]臺南市七股區竹橋里11鄰130號,30
七股區,臺南市七股區三股國民小學附設幼兒園,2012/08/01,南市教幼字第1010673070號,(06)7880744#29,[724]臺南市七股區三股里7鄰100號,60
將軍區,臺南市將軍區漚汪國民小學附設幼兒園,1977/11/24,府教國字第120022號,(06)7942012#702,[725]臺南市將軍區長榮里1鄰4號,60
將軍區,臺南市立將軍幼兒園,1970/01/01,府社福字第175604號,(06)7931378,[725]臺南市將軍區廣山里18鄰176號,152
將軍區,臺南市將軍區鯤鯓國民小學附設幼兒園,1995/07/11,府教國字第111448號,(06)7920185,[725]臺南市將軍區鯤溟里1鄰6號,30
北門區,臺南市北門區雙春國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)7863141#20,[727]臺南市北門區雙春里5鄰35-2號,15
北門區,臺南市北門區蚵寮國民小學附設幼兒園,2002/06/11,府教特字第0910092436號,(06)7863250#207,[727]臺南市北門區鯤江里2鄰791號,30
北門區,臺南市北門區北門國民小學附設幼兒園,1996/04/20,府教國字第63778號,(06)7862035#10,[727]臺南市北門區北門里2鄰舊埕3號,30
北門區,臺南市北門區錦湖國民小學附設幼兒園,2021/08/01,南市教特(一)字第1101142548號,(06)7863454,[727]臺南市北門區錦湖里8鄰75號,15
新化區,臺南市新化區新化國民小學附設幼兒園,2012/08/01,南市教幼字第1010673070號,(06)5902035,[712]臺南市新化區護國里9鄰中山路173號,60
新化區,臺南市新化區大新國民小學附設幼兒園,1980/07/22,府教國字第81053號,(06)5982953#713,[712]臺南市新化區協興里14鄰太平街176號,120
新化區,臺南市新化區正新國民小學附設幼兒園,2012/08/01,南市教幼字第1010673070號,(06)5973113#202,[712]臺南市新化區豐榮里12鄰正新路97號,90
新化區,臺南市新化區那拔國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)5911591#12,[712]臺南市新化區𦰡拔里1鄰54號,76
善化區,臺南市善化區大成國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)5837520,[741]臺南市善化區坐駕里8鄰大成路385號,120
善化區,臺南市善化區善化國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)5814176,[741]臺南市善化區文正里1鄰進學路63號,60
善化區,臺南市善化區陽明國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)5817165#223,[741]臺南市善化區胡家里4鄰300號,90
善化區,臺南市善化區善糖國民小學附設幼兒園,1974/10/18,南府教國字第103021號,(06)5817304,[741]臺南市善化區溪美里23鄰245號,30
善化區,臺南市善化區大同國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)5837352#105,[741]臺南市善化區六德里1鄰200-1號,60
善化區,臺南市善化區茄拔國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)5837031#111,[741]臺南市善化區嘉北里12鄰280號,30
善化區,臺南市善化區小新國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)5837019#3101,[741]臺南市善化區蓮潭里17鄰陽光大道366號,60
新市區,臺南市新市區新市國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)5891981#12,[744]臺南市新市區新市里1鄰中興街1號,60
新市區,臺南市立新市幼兒園,1970/01/01,府社福字第175604號,(06)5999840#20,[744]臺南市新市區新和里6鄰富強路16巷1號,90
新市區,臺南市立新市幼兒園社內分班,1999/10/07,府社福字第175604號,(06)5891071,[744]臺南市新市區社內里9鄰社內91-22號,60
新市區,臺南市立新市幼兒園大營分班,1999/10/07,府社福字第175604號,(06)5014610,[744]臺南市新市區大營里10鄰大營213號,30
新市區,臺南市立新市幼兒園大社分班,1999/10/07,府社福字第175604號,(06)5011400,[744]臺南市新市區大社里5鄰大社159號,30
新市區,臺南市新市區大社國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)5991593#818,[744]臺南市新市區大社里5鄰39號,60
新市區,臺南市立新市幼兒園港墘分班,1999/10/07,府社福字第175604號,(06)5014614,[744]臺南市新市區港墘里22鄰華美街11-1號,30
安定區,臺南市安定區安定國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)5922579#700,[745]臺南市安定區安定里3鄰1號,60
安定區,臺南市安定區南興國民小學附設幼兒園,2017/08/01,南市教特(一)字第1060891007D號,(06)5931038#276,[745]臺南市安定區六嘉里4鄰30號,30
安定區,臺南市安定區南安國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)5923899,[745]臺南市安定區南安里5鄰62號,60
山上區,臺南市山上區山上國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)5781203#86,[743]臺南市山上區南洲里4鄰42號,30
玉井區,臺南市玉井區玉井國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)5742047#201,[714]臺南市玉井區玉田里15鄰中正路1號,60
玉井區,臺南市玉井區層林國民小學附設幼兒園,2012/08/01,南市教幼字第1010673070號,(06)5745379#120,[714]臺南市玉井區層林里10鄰115號,30
楠西區,臺南市楠西區楠西國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)5751062#17,[715]臺南市楠西區楠西里25鄰四維路69號,60
南化區,臺南市南化區南化國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)5771118#207,[716]臺南市南化區南化里2鄰17號,30
南化區,臺南市南化區西埔國民小學附設幼兒園,2001/05/08,府教特字第065234號,(06)5771240#207,[716]臺南市南化區西埔里12鄰117號,30
南化區,臺南市南化區北寮國民小學附設幼兒園,1986/08/19,府教國字第99305號,(06)5772215,[716]臺南市南化區北寮里7鄰110之27號,30
南化區,臺南市南化區玉山國民小學附設幼兒園,1998/06/02,府教國字第94824號,(06)5772072,[716]臺南市南化區玉山里5鄰48之1號,30
南化區,臺南市南化區瑞峰國民小學附設幼兒園,1997/04/02,府教國字第053799號,(06)5770093#172,[716]臺南市南化區關山里4鄰96號,15
左鎮區,臺南市左鎮區光榮國民小學附設幼兒園,1980/07/22,府教國字第81053號,(06)5731658#207,[713]臺南市左鎮區榮和里13鄰61之1號,30
左鎮區,臺南市左鎮區左鎮國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)5731019#14,[713]臺南市左鎮區中正里1鄰7號,30
仁德區,臺南市仁德區長興國民小學附設幼兒園,2017/08/01,南市教特(一)字第1060919098E號,(06)2723986#511,[717]臺南市仁德區太子里1鄰土庫路6號,60
仁德區,臺南市仁德區德南國民小學附設幼兒園,2016/08/01,南市教特(一)字第1050917576號,(06)2794772,[717]臺南市仁德區後壁里22鄰中正路二段209號,90
仁德區,臺南市立仁德幼兒園,1999/10/07,府社福字第175604號,(06)2796114,[717]臺南市仁德區上崙里9鄰民安路2段436號,406
仁德區,臺南市仁德區文賢國民小學附設幼兒園,2017/08/01,南市教特(一)字第1060891007C號,(06)2661260#203,[717]臺南市仁德區保安里4鄰文賢路一段886號,30
仁德區,臺南市仁德區仁和國民小學附設幼兒園,1998/12/16,府教國字第222383號,(06)3365465,[717]臺南市仁德區仁愛里22鄰108號,30
仁德區,臺南市仁德區大甲國民小學附設幼兒園,1997/04/02,府教國字第053799號,(06)2662492#201,[717]臺南市仁德區大甲里12鄰中正西路360巷20弄42號,30
仁德區,臺南市仁德區依仁國民小學附設幼兒園,1995/07/11,府教國字第111448號,(06)2662108#701,[717]臺南市仁德區中洲里1鄰港墘3號,30
歸仁區,臺南市歸仁區歸仁國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)3304761,[711]臺南市歸仁區歸仁里1鄰文化街一段100號,60
歸仁區,臺南市歸仁區歸南國民小學附設幼兒園,1998/12/16,府教國字第222383號,(06)2304930#733,[711]臺南市歸仁區辜厝里42鄰民權南路171號,60
歸仁區,臺南市立歸仁幼兒園,1970/01/01,府社福字第175604號,(06)3308278,[711]臺南市歸仁區崙頂里2鄰信義南路98號,90
歸仁區,臺南市歸仁區大潭國民小學附設幼兒園,2012/08/01,南市教幼字第1010673070號,(06)2781953,[711]臺南市歸仁區大潭里1鄰中正南路3段97號,30
歸仁區,臺南市歸仁區保西國民小學附設幼兒園,1997/04/02,府教國字第053799號,(06)2309683,[711]臺南市歸仁區媽廟里13鄰中正北路三段60號,60
歸仁區,臺南市歸仁區文化國民小學附設幼兒園,2000/04/27,府教國字第65096號,(06)3301666#120,[711]臺南市歸仁區文化里9鄰文化街二段136號,30
關廟區,臺南市立關廟幼兒園,1970/01/01,府社福字第175604號,(06)5956998,[718]臺南市關廟區關廟里5鄰文化街3號,106
關廟區,臺南市關廟區關廟國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)5965564,[718]臺南市關廟區五甲里12鄰東安街70號,60
關廟區,臺南市關廟區五甲國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)5952155#201,[718]臺南市關廟區松腳里7鄰和平路246號,30
關廟區,臺南市關廟區深坑國民小學附設幼兒園,1998/12/16,府教國字第222383號,(06)5952409#201,[718]臺南市關廟區深坑里12鄰南雄路一段487號,30
關廟區,臺南市關廟區文和實驗小學附設幼兒園,1988/08/01,府教國字第32854號,(06)5551937#27,[718]臺南市關廟區布袋里5鄰長文街37號,30
關廟區,臺南市關廟區崇和國民小學附設幼兒園,1996/04/20,府教國字第63778號,(06)5551040#30,[718]臺南市關廟區田中里8鄰南雄南路568號,30
關廟區,臺南市關廟區保東國民小學附設幼兒園,2001/05/08,府教特字第065234號,(06)5952344#219,[718]臺南市關廟區埤頭里2鄰關新路一段776號,30
龍崎區,臺南市龍崎區龍崎國民小學附設幼兒園,1997/04/02,府教國字第053799號,(06)5941204#14,[719]臺南市龍崎區崎頂里2鄰新市子41號,38
永康區,臺南市永康區五王國民小學附設幼兒園,1998/06/02,府教國字第94824號,(06)2336842#701,[710]臺南市永康區五王里1鄰中華二路150號,60
永康區,臺南市永康區永康國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)2324462#710,[710]臺南市永康區永康里6鄰中山南路637號,180
永康區,臺南市永康區大橋國民小學附設幼兒園,1995/07/11,府教國字第111448號,(06)2033001#716,[710]臺南市永康區大橋里3鄰大橋三街173號,60
永康區,臺南市永康區大灣國民小學附設幼兒園,1978/08/09,府教國字第87835號,(06)2719024,[710]臺南市永康區東灣里15鄰大灣路283號,90
永康區,臺南市永康區崑山國民小學附設幼兒園,1998/06/02,府教國字第94824號,(06)2717949,[710]臺南市永康區崑山里44鄰國光五街72號,120
永康區,臺南市永康區西勢國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)2712841#202,[710]臺南市永康區西勢里7鄰富強路一段278號,30
永康區,臺南市永康區勝利國民小學附設幼兒園,2013/08/01,南市教幼字第1020027494號,(06)3130011#851,[710]臺南市永康區勝利里4鄰勝學路111號,60
永康區,臺南市永康區龍潭國民小學附設幼兒園,1988/01/01,府教國字第32854號,(06)2032014,[710]臺南市永康區龍潭里20鄰龍潭街214號,120
永康區,臺南市永康區三村國民小學附設幼兒園,2000/04/27,府教國字第65096號,(06)2531850#100,[710]臺南市永康區塩洲里2鄰鹽行路2號,60
永康區,臺南市永康區永信國民小學附設幼兒園,2017/08/01,南市教特(一)字第1060891007A號,(06)2320783#901,[710]臺南市永康區復華里16鄰復華七街166號,30
永康區,臺南市永康區復興國民小學附設幼兒園,1977/10/19,府教國字第112219號,(06)3130574,[710]臺南市永康區中華里22鄰華興街2號,120
東區,臺南市東區崇學國民小學附設幼兒園,1999/06/24,南市教國字第20516號,(06)2689951#123,[701]臺南市東區崇學里1鄰崇學路98號,60
東區,臺南市東區東光國民小學附設幼兒園,2009/08/06,南市教特字第09812550860號,(06)2376534#722,[701]臺南市東區東光里2鄰東光路一段39號,150
東區,臺南市東區勝利國民小學附設幼兒園,2014/08/01,南市教特(一)字第1030314718號,(06)2081861,[701]臺南市東區中西里7鄰勝利路10號,60
東區,臺南市東區崇明國民小學附設幼兒園,1999/06/24,南市教國字第20516號,(06)2673330#1001,[701]臺南市東區崇明里16鄰崇明路698號,60
東區,臺南市東區博愛國民小學附設幼兒園,1977/08/20,南市教國字第42895號,(06)2361723,[701]臺南市東區圍下里21鄰前鋒路100號,90
東區,臺南市立小康幼兒園小東分班,2009/07/07,南市社兒字第09813631430號,(06)2389931,[701]臺南市東區小東里26鄰小東路198巷24弄52號,30
東區,臺南市立忠孝國民中學附設幼兒園,2017/08/01,南市教特(一)字第1060919098F號,(06)2670495#134,[701]臺南市東區龍山里5鄰崇善路151號,30
東區,臺南市東區德高國民小學附設幼兒園,2004/05/05,南市教特字第09312520330號,(06)2681891#108,[701]臺南市東區德高里17鄰崇善路1155號,30
東區,臺南市東區大同國民小學附設幼兒園,2003/04/24,南市教特字第09212520440號,(06)2157589#861,[701]臺南市東區大福里3鄰榮譽街30號,60
東區,臺南市東區復興國民小學附設幼兒園,1999/06/24,南市教國字第20516號,(06)3319168,[701]臺南市東區復興里11鄰裕文路60號,120
南區,臺南市立第二幼兒園明德分班,2002/10/22,南市社兒字第1350677號,(06)2657344,[702]臺南市南區明德里5鄰大成路一段55號,60
南區,臺南市南區新興國民小學附設幼兒園,2017/08/01,南市教特(一)字第1060891007G號,(06)2617452,[702]臺南市南區新興里11鄰新興路22號,30
南區,臺南市立第二幼兒園,2001/09/26,南市社兒字第231559號,(06)2657334,[702]臺南市南區國宅里12鄰新孝路87號,120
南區,臺南市南區日新國民小學附設幼兒園,1994/01/14,南市教國字第01295號,(06)2916798,[702]臺南市南區日新里7鄰金華路一段473號,60
南區,臺南市南區喜樹國民小學附設幼兒園,2012/08/01,南市教幼字第1010673070號,(06)2622462,[702]臺南市南區喜東里8鄰喜樹路133號,60
南區,臺南市南區省躬國民小學附設幼兒園,1995/01/26,南市教國字第02585號,(06)2622460#100,[702]臺南市南區省躬里6鄰灣裡路70號,30
南區,臺南市南區永華國民小學附設幼兒園,2007/04/09,南市教特字第09612515930號,(06)2647003,[702]臺南市南區開南里9鄰中華西路一段2巷17號,60
南區,臺南市南區龍崗國民小學附設幼兒園,1994/01/14,南市教國字第01295號,(06)2629690,[702]臺南市南區鯤鯓里21鄰鯤鯓路147號,45
南區,臺南市立第三幼兒園灣裡分班,2009/07/08,南市社兒字第09813631950號,(06)2625564,[702]臺南市南區永寧里21鄰灣裡路263巷41號,60
北區,臺南市北區開元國民小學附設幼兒園,1993/01/18,南市教國字第01546號,(06)2375509#801,[704]臺南市北區勝安里3鄰開元路71巷32號,120
北區,臺南市北區大光國民小學附設幼兒園,1993/01/18,南市教國字第01546號,(06)2518465#122,[704]臺南市北區光武里1鄰長榮路五段277號,120
北區,臺南市立小康幼兒園文元分班,2009/07/10,南市社兒字第09813634100號,(06)2596027,[704]臺南市北區文元里15鄰和緯路3段370號,30
北區,臺南市北區文元國民小學附設幼兒園,2000/07/11,南市教特字第046122號,(06)3586942#808,[704]臺南市北區文元里6鄰海安路三段815號,30
北區,臺南市北區大港國民小學附設幼兒園,2005/03/28,南市教特字第09412512560號,(06)2505489,[704]臺南市北區大港里21鄰大港街146號,180
北區,臺南市北區立人國民小學附設幼兒園,1949/07/01,南市教字第8501號,(06)2286683,[704]臺南市北區安民里9鄰西門路三段41號,150
北區,臺南市北區公園國民小學附設幼兒園,1995/01/26,南市教國字第02585號,(06)2223291#780,[704]臺南市北區公園里18鄰公園路180號,150
北區,臺南市立小康幼兒園,2001/08/20,南市社兒字第227226號,(06)2815947,[704]臺南市北區永祥里16鄰大武街502巷1號,60
